# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "20" "-t" "CDS" "-g" "locus" "-a" "/media/lu/lu202306/ref/PAO1forsRNA.gff" "-o" "counts.txt" "PA0806.1-1.sorted.bam" "PA0806.1-2.sorted.bam" "PA0982.1-1.sorted.bam" "PA0982.1-2.sorted.bam" "PA1014.1-1.sorted.bam" "PA1014.1-2.sorted.bam" "PA1270.1-1.sorted.bam" "PA1270.1-2.sorted.bam" "PA1367.1-1.sorted.bam" "PA1367.1-2.sorted.bam" "PA2734.1-1.sorted.bam" "PA2734.1-2.sorted.bam" "PA2736.2-1.sorted.bam" "PA2736.2-2.sorted.bam" "PA3471.1-1.sorted.bam" "PA3471.1-2.sorted.bam" "PA4639.1-1.sorted.bam" "PA4639.1-2.sorted.bam" "PA4640.1-1.sorted.bam" "PA4640.1-2.sorted.bam" "PA4642.1-1.sorted.bam" "PA4642.1-2.sorted.bam" "WTEV-1-1.sorted.bam" "WTEV-1-2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	PA0806.1-1.sorted.bam	PA0806.1-2.sorted.bam	PA0982.1-1.sorted.bam	PA0982.1-2.sorted.bam	PA1014.1-1.sorted.bam	PA1014.1-2.sorted.bam	PA1270.1-1.sorted.bam	PA1270.1-2.sorted.bam	PA1367.1-1.sorted.bam	PA1367.1-2.sorted.bam	PA2734.1-1.sorted.bam	PA2734.1-2.sorted.bam	PA2736.2-1.sorted.bam	PA2736.2-2.sorted.bam	PA3471.1-1.sorted.bam	PA3471.1-2.sorted.bam	PA4639.1-1.sorted.bam	PA4639.1-2.sorted.bam	PA4640.1-1.sorted.bam	PA4640.1-2.sorted.bam	PA4642.1-1.sorted.bam	PA4642.1-2.sorted.bam	WTEV-1-1.sorted.bam	WTEV-1-2.sorted.bam
PA1093	chromosome	1184603	1184974	+	372	307	271	1888	2132	1360	725	227	214	1463	3482	1234	1067	3738	1808	438	204	418	234	328	225	1877	1867	751	1473
PA1094	chromosome	1185060	1186484	+	1425	1047	809	8974	10021	5915	2487	830	704	5968	9597	3741	3462	12871	6843	860	690	1771	951	1217	996	7985	7600	3665	5871
PA1095	chromosome	1186606	1186986	+	381	335	245	1646	1735	1759	765	203	270	1662	2336	1102	1146	2100	1724	261	230	383	198	279	337	2292	1998	934	1075
PA1096	chromosome	1187009	1187305	+	297	342	223	954	991	1253	400	200	210	793	1214	667	506	1129	857	245	214	375	286	326	334	1144	1449	474	744
PA1097	chromosome	1187587	1189059	+	1473	569	300	3520	3103	834	467	327	320	882	1223	3105	572	1428	1667	406	322	748	355	520	8887	3314	5910	1791	2127
PA1098	chromosome	1189172	1190380	+	1209	175	122	500	477	4616	907	153	134	1978	3336	1220	1058	1763	1512	164	126	239	181	204	183	763	651	676	845
PA1099	chromosome	1190385	1191806	+	1422	154	146	581	681	754	277	137	119	1031	1547	533	592	546	498	122	90	252	135	157	156	857	912	302	466
PA1100	chromosome	1192053	1192382	+	330	36	20	38	70	2028	253	20	17	503	830	341	252	505	378	22	30	61	29	33	38	111	89	186	134
PA1101	chromosome	1192405	1194201	+	1797	154	198	573	556	1466	618	141	129	1586	2250	828	741	1076	994	150	165	276	175	179	195	920	969	749	940
PA1102	chromosome	1194207	1195223	+	1017	157	161	874	846	850	336	112	113	863	1228	492	418	745	624	128	72	248	157	198	155	1380	1215	979	1004
PA1103	chromosome	1195225	1196031	+	807	134	107	450	449	374	114	79	91	432	634	256	272	451	323	90	72	147	68	124	100	626	583	372	479
PA1104	chromosome	1196021	1197376	+	1356	134	100	577	545	345	177	109	85	504	718	295	170	451	347	100	51	160	97	135	88	690	683	519	596
PA1105	chromosome	1197390	1197833	+	444	21	17	61	63	63	15	13	12	74	81	34	20	58	37	20	13	25	25	15	22	94	85	88	69
PA1106	chromosome	1197838	1198551	-	714	30	20	148	160	96	47	18	23	87	130	68	70	174	144	31	11	58	22	38	39	166	185	184	216
PA1107	chromosome	1198750	1199946	-	1197	5	4	85	67	162	59	5	6	158	249	125	119	171	175	6	3	11	12	12	8	47	67	93	157
PA1108	chromosome	1200063	1201220	-	1158	10	0	23	15	14	15	3	2	18	30	4	8	35	22	6	4	9	0	1	4	14	42	29	21
PA1109	chromosome	1201310	1202089	+	780	11	16	85	70	28	18	4	7	41	47	20	17	41	43	5	11	21	10	11	11	88	66	40	53
PA1110	chromosome	1202094	1202804	-	711	22	16	101	113	75	28	19	31	78	107	48	66	152	137	21	8	33	16	24	30	148	160	204	220
PA1111	chromosome	1202917	1203540	+	624	8	0	52	36	36	12	4	2	46	44	40	17	62	68	7	0	2	0	4	8	10	19	44	25
PA1112	chromosome	1203633	1204781	+	1149	85	42	386	400	593	275	41	28	646	865	512	395	957	749	56	29	47	32	30	57	284	258	536	399
PA1113	chromosome	1205771	1207537	+	1767	38	34	139	138	111	27	28	28	103	161	112	99	174	140	22	16	52	7	36	28	160	99	182	235
PA1114	chromosome	1207540	1207875	-	336	17	14	47	57	71	22	13	15	74	91	40	31	87	71	8	2	21	18	10	16	42	59	90	54
PA1115	chromosome	1207979	1210303	-	2325	154	187	536	603	453	216	129	117	524	699	299	275	551	480	134	87	248	125	160	145	797	833	502	692
PA1116	chromosome	1210558	1211397	+	840	30	29	49	74	95	50	37	31	89	96	58	38	162	94	30	29	63	38	41	43	134	137	272	255
PA1117	chromosome	1211407	1211781	-	375	31	47	79	82	191	86	30	32	185	231	97	121	232	228	25	14	79	36	37	47	96	126	146	224
PA1118	chromosome	1211888	1212571	-	684	48	16	114	178	253	126	23	2	231	340	183	135	273	278	18	15	41	27	25	37	125	120	119	220
PA1119	chromosome	1212717	1213223	-	507	63	34	669	773	243	138	49	42	282	440	214	162	533	491	82	41	133	59	51	50	392	387	366	671
PA1120	chromosome	1213195	1214502	-	1308	35	27	166	156	73	34	21	30	78	127	54	36	160	119	23	21	45	27	22	21	110	170	106	138
PA1121	chromosome	1214502	1215074	-	573	16	14	155	139	189	65	12	6	132	239	127	133	207	195	7	15	15	13	14	15	113	131	113	180
PA1122	chromosome	1215284	1215727	+	444	70	22	556	322	148	58	30	36	211	235	122	107	296	178	31	20	80	24	26	30	283	314	544	297
PA1123	chromosome	1216120	1216440	-	321	65	30	144	138	161	88	27	19	185	186	106	123	296	255	34	27	88	32	33	32	76	111	590	744
PA1124	chromosome	1216671	1218167	+	1497	61	43	606	692	236	113	41	36	244	355	185	156	373	298	53	33	66	60	36	50	533	587	405	488
PA1125	chromosome	1218181	1218933	+	753	18	14	151	148	60	18	6	18	95	92	37	46	72	82	20	13	22	10	9	8	164	164	102	63
PA1126	chromosome	1218940	1219527	-	588	28	23	87	105	54	22	36	41	39	57	32	38	53	46	39	30	61	37	51	39	152	193	144	153
PA1127	chromosome	1219621	1220610	-	990	92	89	582	440	132	44	88	111	151	213	102	109	358	308	81	51	179	111	98	100	709	811	294	327
PA1128	chromosome	1220745	1221656	+	912	11	10	104	88	11	16	10	16	17	33	36	19	35	41	8	14	16	26	11	29	113	152	60	69
PA1129	chromosome	1221691	1222098	+	408	4	3	59	70	26	18	2	4	48	47	17	8	48	44	12	5	5	7	5	3	84	88	32	33
PA1130	chromosome	1222095	1223072	-	978	24	6	537	615	405	126	8	7	513	760	327	249	576	535	8	4	32	9	10	8	197	237	381	426
PA1131	chromosome	1223060	1224328	-	1269	10	2	148	152	273	135	4	6	257	309	205	159	321	282	5	0	23	12	1	14	122	98	388	367
PA1132	chromosome	1224641	1225330	+	690	73	59	126	133	66	45	78	80	65	128	42	60	112	111	67	75	126	74	103	109	253	227	247	353
PA1133	chromosome	1225340	1225690	-	351	13	17	27	12	19	4	6	4	16	21	22	17	57	14	7	14	20	3	11	4	39	32	15	39
PA1134	chromosome	1225757	1226278	-	522	9	13	35	34	21	4	3	14	36	44	16	27	25	34	11	9	15	19	14	4	56	62	48	49
PA1135	chromosome	1226427	1227302	-	876	132	72	715	837	655	260	65	89	709	935	353	350	814	770	81	76	125	66	111	84	356	350	301	434
PA1136	chromosome	1227474	1228205	+	732	134	140	111	132	349	137	134	126	373	520	179	217	398	270	146	131	223	139	248	202	136	131	238	219
PA1137	chromosome	1228212	1229198	-	987	592	754	601	652	1761	825	609	600	2570	3371	1140	976	2055	1546	664	657	1023	794	981	1029	593	629	1279	1067
PA1138	chromosome	1229344	1230219	+	876	15	11	73	83	29	9	5	15	34	37	9	12	34	18	20	3	22	10	10	6	111	97	32	24
PA1139	chromosome	1230310	1231158	+	849	41	15	135	189	99	40	20	13	105	102	55	51	133	117	23	19	37	29	41	29	166	164	116	122
PA1140	chromosome	1231256	1232092	-	837	48	16	865	975	393	152	28	29	361	530	250	154	394	349	31	32	69	50	48	42	627	590	803	944
PA1141	chromosome	1232229	1233131	-	903	4	28	82	77	16	6	6	2	56	26	19	30	56	21	11	8	15	19	15	8	105	108	25	57
PA1142	chromosome	1233297	1234013	-	717	28	20	71	118	62	49	19	18	77	106	48	28	75	83	41	33	56	29	27	16	125	113	118	87
PA1143	chromosome	1234095	1234748	-	654	2	0	29	62	8	0	2	4	10	11	4	4	15	12	2	0	15	4	0	0	40	49	16	4
PA1144	chromosome	1234816	1236150	-	1335	2	2	35	49	14	14	2	4	18	34	23	0	18	11	0	6	6	5	6	4	40	41	46	38
PA1145	chromosome	1236644	1237546	+	903	13	9	56	68	54	22	2	1	69	95	48	32	79	47	14	15	16	14	13	12	35	70	81	83
PA1146	chromosome	1237551	1238732	-	1182	6	11	7	25	15	10	5	6	20	32	16	17	20	23	4	0	24	4	14	8	25	13	31	26
PA1147	chromosome	1238834	1240324	-	1491	16	7	42	56	24	16	7	4	34	27	23	20	48	28	4	2	26	2	6	0	26	34	42	31
PA1148	chromosome	1240584	1242500	-	1917	13	16	111	68	38	19	6	24	71	78	60	53	66	74	22	15	40	17	16	15	103	107	110	122
PA1149	chromosome	1242750	1243118	-	369	2	8	36	16	34	12	7	4	21	41	17	28	46	21	2	6	9	9	7	8	42	18	29	50
PA1150	chromosome	1243594	1245663	+	2070	89	94	451	466	584	251	64	66	554	861	393	286	378	333	73	49	180	68	101	103	715	694	311	454
PA1151	chromosome	1245665	1245928	+	264	191	160	923	1371	764	317	122	129	564	852	438	377	766	593	137	122	328	140	192	264	1268	1069	612	977
PA1152	chromosome	1246444	1246788	+	345	24	17	83	75	57	21	10	5	56	62	22	29	62	57	5	17	27	16	11	32	105	78	107	181
PA1153	chromosome	1247932	1248486	-	555	16	6	44	83	15	11	2	9	24	47	20	10	33	38	0	6	17	15	4	2	62	93	102	60
PA1154	chromosome	1249019	1249552	-	534	0	4	39	44	12	12	10	0	23	41	9	18	16	31	8	8	12	4	6	6	42	37	62	53
PA1155	chromosome	1249907	1251154	-	1248	1240	926	4506	4488	725	416	813	739	737	1061	659	658	1532	1311	1012	813	1544	843	1171	1058	6727	6448	5673	6955
PA1156	chromosome	1251418	1254309	-	2892	2132	2100	9726	10596	1255	552	1699	1488	1260	1846	1047	919	2724	2403	2110	1653	2719	1915	2496	2143	18255	17916	5661	8857
PA1157	chromosome	1255042	1255752	+	711	35	35	78	79	56	24	29	21	60	65	29	43	63	80	44	28	51	25	23	24	117	124	183	137
PA1158	chromosome	1256094	1257452	+	1359	35	25	92	129	63	16	19	10	65	73	37	43	94	61	18	12	30	17	10	14	136	138	111	107
PA1159	chromosome	1257772	1257981	+	210	152	98	1446	1857	655	252	102	116	512	593	421	330	478	416	86	80	290	125	149	99	2633	2750	430	747
PA1160	chromosome	1258087	1258470	-	384	28	32	194	151	151	73	21	28	171	243	98	134	204	161	16	16	58	36	32	22	234	242	243	242
PA1161	chromosome	1258488	1259291	-	804	57	52	213	196	57	38	70	35	89	123	63	55	111	111	42	53	75	70	64	79	352	341	228	285
PA1162	chromosome	1259291	1260442	-	1152	115	89	255	260	149	53	96	83	163	252	114	110	250	181	114	71	158	127	108	119	606	597	508	532
PA1163	chromosome	1260557	1263166	-	2610	28	4	179	220	141	66	24	14	151	233	141	115	261	197	34	21	42	16	19	23	123	141	184	204
PA1164	chromosome	1263378	1264190	+	813	43	52	168	133	80	41	25	37	82	113	46	51	135	104	24	21	51	37	42	34	163	175	276	188
PA1165	chromosome	1264191	1264919	-	729	37	14	101	100	62	37	18	27	83	108	24	31	106	89	23	19	27	16	22	19	111	102	109	116
PA1166	chromosome	1265147	1265935	-	789	13	4	172	191	169	104	2	6	276	317	177	154	290	264	8	1	11	4	12	14	55	81	166	234
PA1167	chromosome	1266111	1266782	+	672	28	4	170	162	240	119	16	9	323	411	189	177	359	256	20	10	20	3	13	21	120	108	140	195
PA1168	chromosome	1267282	1267602	+	321	11	2	98	92	51	12	2	4	46	45	24	26	55	48	2	2	13	4	8	0	26	27	45	82
PA1169	chromosome	1267680	1269737	+	2058	11	6	275	296	114	41	6	11	88	142	97	65	136	99	11	16	47	9	13	8	117	90	118	143
PA1170	chromosome	1269781	1270515	-	735	38	42	77	104	348	133	40	34	378	491	241	215	625	373	28	32	58	54	57	48	167	126	401	472
PA1171	chromosome	1270972	1272168	+	1197	98	95	898	977	353	155	100	61	374	582	303	289	528	412	79	91	114	94	113	127	931	978	577	689
PA1172	chromosome	1272200	1272796	-	597	16	16	333	351	356	190	12	6	347	435	241	196	503	458	8	9	20	12	11	3	99	88	256	354
PA1173	chromosome	1272807	1273298	-	492	26	6	337	303	272	134	2	3	442	607	302	320	671	572	9	1	25	2	7	7	71	48	201	219
PA1174	chromosome	1273309	1275798	-	2490	108	18	2617	2880	2015	908	28	12	2224	3189	1810	1554	3731	3161	54	23	194	30	56	24	481	479	1749	1988
PA1175	chromosome	1275795	1276124	-	330	3	2	143	130	155	61	7	4	118	141	107	102	183	122	2	0	1	0	2	2	40	45	61	124
PA1176	chromosome	1276117	1276608	-	492	20	2	402	425	390	201	4	0	575	615	384	372	803	708	4	6	32	6	10	8	88	88	265	208
PA1177	chromosome	1276617	1276784	-	168	19	2	171	238	188	81	10	4	214	241	132	132	307	251	2	0	31	1	7	3	55	37	182	197
PA1178	chromosome	1277006	1277608	+	603	941	846	4207	4432	1352	634	542	563	1256	1910	1007	848	2333	2329	791	586	1258	687	967	863	5530	5520	3257	6899
PA1179	chromosome	1277688	1278365	+	678	209	159	854	802	258	109	108	127	287	443	222	231	499	437	138	121	211	144	164	167	1019	1145	859	1021
PA1180	chromosome	1278362	1279708	+	1347	124	92	376	344	161	59	57	79	188	270	144	134	336	275	85	55	109	80	78	92	460	561	711	618
PA1181	chromosome	1279810	1283172	+	3363	77	72	379	384	486	179	74	64	397	670	329	309	722	496	42	40	105	76	70	55	284	293	485	386
PA1182	chromosome	1283176	1284177	-	1002	14	6	103	88	88	48	15	14	110	126	64	42	107	89	3	11	25	15	25	9	97	122	147	127
PA1183	chromosome	1284513	1285823	+	1311	94	36	92	141	288	83	61	55	276	476	213	202	429	446	61	26	136	35	57	54	981	855	2803	3855
PA1184	chromosome	1285898	1286788	-	891	4	8	155	137	43	32	7	12	77	86	46	51	82	86	14	6	32	13	21	15	136	169	72	82
PA1185	chromosome	1286990	1287619	+	630	2	0	27	33	4	0	1	0	18	21	13	2	21	11	2	2	2	0	2	0	21	18	13	17
PA1186	chromosome	1287616	1288635	+	1020	3	1	19	17	7	8	0	3	8	27	6	9	37	17	2	0	4	2	6	2	23	36	18	15
PA1187	chromosome	1288737	1289876	+	1140	7	10	58	54	22	5	7	11	22	33	30	16	42	26	0	3	6	4	12	6	37	38	40	64
PA1188	chromosome	1289965	1291146	+	1182	17	10	232	274	86	39	11	12	104	161	75	40	155	110	11	12	34	5	2	4	146	199	117	113
PA1189	chromosome	1291148	1291645	-	498	18	12	71	80	46	14	16	1	39	100	42	71	89	63	13	11	12	6	7	7	65	76	95	138
PA1190	chromosome	1291813	1292412	-	600	16	15	372	410	164	81	24	6	167	227	108	110	214	228	5	6	14	9	4	9	116	122	118	114
PA1191	chromosome	1292571	1293164	-	594	34	8	113	163	170	82	16	19	213	293	144	173	281	296	16	24	25	19	21	14	189	162	120	191
PA1192	chromosome	1293267	1294091	+	825	75	56	182	187	106	40	33	48	70	132	81	83	212	199	74	71	81	39	76	69	340	409	292	522
PA1193	chromosome	1294138	1294809	+	672	31	40	85	136	67	24	17	27	66	95	71	35	144	107	23	30	49	28	40	32	219	176	130	242
PA1194	chromosome	1294811	1296229	-	1419	16	14	56	33	41	18	10	4	34	48	20	26	43	33	11	12	28	15	18	8	31	36	87	69
PA1195	chromosome	1296334	1297098	-	765	18	14	40	49	33	24	6	2	38	46	43	21	50	69	8	4	7	0	7	2	27	24	90	104
PA1196	chromosome	1297309	1298709	+	1401	173	137	1606	1671	237	103	127	115	229	405	185	256	343	290	133	118	251	156	210	221	2443	2432	141	163
PA1197	chromosome	1298722	1299492	+	771	104	70	516	522	172	81	44	66	179	308	140	121	217	172	49	26	85	71	73	83	682	695	220	188
PA1198	chromosome	1299558	1300175	+	618	131	98	401	490	159	75	120	85	148	157	90	78	181	160	119	85	319	97	117	115	531	554	612	676
PA1199	chromosome	1300258	1300791	+	534	119	99	244	319	308	124	114	86	341	486	279	191	492	495	96	75	173	109	128	104	442	374	1444	1658
PA1200	chromosome	1300811	1301473	+	663	40	23	168	149	90	31	22	13	83	165	71	72	155	149	12	14	53	37	29	27	150	187	363	314
PA1201	chromosome	1301481	1302395	-	915	31	18	193	192	115	66	20	15	102	207	66	74	107	107	12	7	37	22	21	9	148	189	188	198
PA1202	chromosome	1302696	1303313	+	618	64	58	1960	1866	997	409	65	47	1163	1644	679	556	1334	941	66	45	164	98	94	75	598	652	531	569
PA1203	chromosome	1303457	1303864	+	408	26	18	272	251	102	44	12	12	137	186	85	47	116	116	19	11	32	32	22	30	210	190	159	198
PA1204	chromosome	1303892	1304449	+	558	30	26	353	435	140	55	19	27	168	242	92	87	170	168	17	20	36	33	39	65	299	286	232	230
PA1205	chromosome	1304476	1305423	+	948	65	36	658	653	162	81	52	46	201	407	142	111	318	256	51	27	91	47	83	58	531	428	274	312
PA1206	chromosome	1305583	1306056	+	474	36	34	159	140	69	37	24	25	89	97	51	54	74	65	26	13	31	24	46	31	122	159	119	155
PA1207	chromosome	1306059	1307900	+	1842	66	71	484	576	158	60	72	82	246	321	103	147	267	224	71	40	113	98	103	75	598	655	485	423
PA1208	chromosome	1308067	1309566	+	1500	13	7	161	125	97	35	20	8	106	177	74	101	161	122	11	2	17	15	16	6	80	80	84	95
PA1209	chromosome	1309583	1310518	-	936	15	8	91	85	55	14	23	20	73	78	52	46	89	84	9	2	30	19	21	17	135	142	119	84
PA1210	chromosome	1310688	1311386	-	699	12	8	74	51	58	8	10	4	42	55	43	38	64	59	6	5	10	7	14	9	64	95	29	52
PA1211	chromosome	1311504	1312139	-	636	0	0	96	78	79	45	0	0	129	115	73	41	119	108	0	4	4	0	1	4	16	20	17	11
PA1212	chromosome	1312136	1313365	-	1230	0	5	374	396	176	108	0	4	268	446	177	167	357	347	12	0	4	0	10	0	44	28	42	34
PA1213	chromosome	1313362	1314321	-	960	5	14	494	527	167	86	0	4	271	433	192	131	481	382	0	0	2	0	0	0	19	21	22	40
PA1214	chromosome	1314318	1315916	-	1599	15	0	1136	1262	392	174	7	4	551	737	296	277	841	720	2	6	14	4	3	2	55	73	94	70
PA1215	chromosome	1315916	1317202	-	1287	8	9	1935	2299	549	342	5	9	778	1270	448	413	1258	1001	0	2	8	3	5	3	108	108	150	102
PA1216	chromosome	1317404	1318150	-	747	7	2	3146	3331	1408	610	3	12	1532	2441	1015	958	2452	1926	2	0	31	0	6	5	136	132	121	150
PA1217	chromosome	1318147	1319514	-	1368	14	3	3771	3885	720	315	6	11	886	1308	499	430	1382	1062	4	2	27	14	10	13	235	217	199	176
PA1218	chromosome	1319511	1320389	-	879	2	2	1249	1268	231	82	11	0	182	312	134	91	281	222	2	2	4	0	0	6	66	51	47	54
PA1219	chromosome	1320386	1321000	-	615	2	0	211	199	6	12	1	0	22	32	15	15	26	15	0	4	5	0	0	0	21	18	22	14
PA1220	chromosome	1320994	1322256	-	1263	4	1	586	608	36	9	6	4	36	48	24	32	81	60	0	0	2	3	3	0	28	20	27	22
PA1221	chromosome	1322253	1324109	-	1857	13	0	639	691	103	65	11	0	116	132	75	64	174	133	6	1	6	9	4	2	47	51	53	67
PA1222	chromosome	1324793	1325950	-	1158	80	62	316	372	176	84	73	89	169	317	167	114	301	288	86	70	159	87	101	77	494	557	363	476
PA1223	chromosome	1326046	1326939	-	894	40	10	219	253	57	21	23	22	53	60	57	40	70	77	23	19	52	20	29	30	228	201	68	70
PA1224	chromosome	1327024	1327803	+	780	20	12	100	108	24	6	15	4	25	29	12	7	34	17	22	14	7	4	19	14	124	150	26	21
PA1225	chromosome	1327813	1328439	-	627	20	3	108	136	7	11	13	4	14	20	10	11	29	23	18	8	24	23	10	12	162	135	22	25
PA1226	chromosome	1328545	1329153	+	609	7	10	97	133	25	28	19	14	48	41	34	40	100	47	7	2	28	6	17	28	173	147	43	79
PA1227	chromosome	1329192	1330040	+	849	35	31	117	154	49	12	16	7	53	44	22	25	55	72	27	22	39	15	35	22	239	257	141	64
PA1228	chromosome	1330117	1330467	-	351	11	28	42	45	8	4	51	14	28	12	10	8	25	22	38	35	55	46	31	29	205	195	49	34
PA1229	chromosome	1330577	1331383	-	807	9	8	76	66	19	6	14	3	20	29	17	16	33	33	9	2	15	15	11	14	79	81	37	31
PA1230	chromosome	1331517	1331714	+	198	0	0	4	6	0	2	2	0	0	5	4	6	4	3	2	4	0	0	0	0	1	2	6	10
PA1231	chromosome	1331727	1332635	+	909	0	6	10	12	10	0	2	0	7	4	5	0	3	4	0	0	4	0	2	6	8	8	5	2
PA1232	chromosome	1332635	1334674	+	2040	2	0	61	46	24	9	4	10	16	37	20	12	45	41	11	6	0	4	10	0	32	33	41	28
PA1233	chromosome	1334671	1334928	+	258	1	0	26	35	11	4	14	12	9	27	14	4	8	12	2	1	3	1	1	5	23	25	13	19
PA1234	chromosome	1334950	1335453	-	504	10	2	91	93	42	13	14	2	38	37	24	12	48	39	6	16	14	20	12	7	81	107	73	83
PA1235	chromosome	1335645	1336427	+	783	7	0	111	89	38	11	9	11	66	86	43	27	73	71	8	14	13	18	3	13	86	157	81	44
PA1236	chromosome	1336430	1337941	-	1512	7	0	37	33	33	2	13	2	27	36	12	13	33	15	2	8	1	2	4	3	35	33	31	22
PA1237	chromosome	1337931	1339082	-	1152	0	6	22	10	15	6	4	5	26	24	4	9	28	26	0	2	3	0	0	6	33	23	17	32
PA1238	chromosome	1339079	1340527	-	1449	2	11	27	19	23	14	2	2	18	13	12	13	17	20	0	0	5	2	2	0	20	22	27	10
PA1239	chromosome	1340910	1341794	-	885	0	7	70	67	8	4	2	4	38	39	17	10	28	22	4	4	1	8	5	2	54	45	28	30
PA1240	chromosome	1341851	1342648	-	798	4	3	69	62	6	5	3	10	20	34	8	14	23	21	10	0	7	4	5	2	53	52	19	23
PA1241	chromosome	1342813	1343373	+	561	15	16	61	58	49	24	16	13	56	60	43	32	51	71	22	8	12	16	28	41	80	56	80	168
PA1242	chromosome	1343453	1345225	+	1773	34	21	103	129	115	46	27	13	109	168	90	71	180	124	21	14	24	20	20	16	128	104	137	156
PA1243	chromosome	1345248	1347824	-	2577	58	73	876	958	333	148	63	47	379	490	193	230	590	579	56	53	123	57	56	99	752	767	465	590
PA1244	chromosome	1348060	1348401	-	342	216	117	2476	2828	1322	631	111	77	1323	1788	969	883	1738	1536	108	68	268	118	196	125	1618	1674	1059	1516
PA1245	chromosome	1349416	1350660	+	1245	52	14	860	977	327	138	54	24	339	478	255	164	518	456	34	21	75	27	44	33	527	566	702	769
PA1246	chromosome	1350747	1352528	+	1782	37	6	442	468	116	66	23	13	150	235	104	104	162	158	18	11	25	26	6	13	169	260	256	254
PA1247	chromosome	1352525	1353823	+	1299	35	0	452	418	100	46	15	4	131	167	59	59	174	102	11	6	45	11	12	12	136	213	246	188
PA1248	chromosome	1353827	1355272	+	1446	32	2	380	400	137	57	12	10	171	233	140	118	200	146	2	10	47	11	20	12	167	191	203	272
PA1249	chromosome	1355631	1357070	+	1440	188	14	9730	9632	8461	3662	85	4	9351	13996	5878	5351	11933	9886	39	8	242	19	62	14	998	971	4306	5995
PA1250	chromosome	1357317	1357712	+	396	7	10	467	570	277	142	17	3	338	441	215	163	355	224	6	2	35	6	6	8	275	191	227	292
PA1251	chromosome	1357725	1359350	-	1626	33	10	561	471	152	93	6	8	233	333	145	132	301	256	18	8	29	9	15	10	255	299	170	232
PA1252	chromosome	1359590	1360594	+	1005	33	7	295	351	96	38	3	12	75	140	89	55	141	78	9	7	13	6	2	2	125	145	79	65
PA1253	chromosome	1360698	1362278	-	1581	6	6	168	104	32	6	10	3	27	66	21	23	51	53	6	5	12	8	2	10	68	47	20	25
PA1254	chromosome	1362371	1363288	-	918	2	6	80	63	4	0	0	12	17	19	12	6	8	12	4	0	10	10	10	0	30	27	6	6
PA1255	chromosome	1363439	1364473	-	1035	4	6	104	106	16	4	6	0	20	28	8	8	18	9	4	0	2	4	2	4	44	39	16	19
PA1256	chromosome	1364499	1365221	-	723	3	2	91	89	8	7	4	0	11	21	4	8	14	7	0	0	9	0	1	1	44	57	8	6
PA1257	chromosome	1365218	1365862	-	645	0	2	29	19	7	2	6	0	6	8	8	11	6	6	5	0	2	0	0	2	23	14	12	14
PA1258	chromosome	1365873	1366538	-	666	4	0	20	20	4	2	3	0	16	12	2	8	10	10	0	2	4	0	2	3	14	13	8	8
PA1259	chromosome	1366538	1368280	-	1743	6	8	138	135	22	9	7	0	28	40	14	18	53	41	4	0	1	4	9	2	88	84	48	36
PA1260	chromosome	1368339	1369160	-	822	0	2	105	110	2	4	0	0	27	29	6	4	13	14	0	0	4	2	5	0	67	76	14	18
PA1261	chromosome	1369418	1370092	-	675	3	7	34	46	31	18	20	11	49	84	31	46	78	75	8	4	10	15	8	17	71	61	79	94
PA1262	chromosome	1370257	1371699	-	1443	8	5	16	18	16	6	12	6	10	26	22	14	15	19	2	4	4	2	8	4	36	35	34	42
PA1263	chromosome	1371738	1372682	+	945	26	16	189	196	37	16	14	6	94	116	55	34	85	90	24	20	27	20	16	29	203	198	83	112
PA1264	chromosome	1372979	1373845	-	867	4	7	151	103	34	13	5	6	47	102	26	18	71	52	4	3	12	12	15	6	103	93	41	67
PA1265	chromosome	1373945	1374847	+	903	2	0	12	20	6	0	0	0	14	12	10	9	16	18	4	0	6	0	0	0	19	24	9	9
PA1266	chromosome	1374844	1376097	-	1254	3	4	49	31	8	4	1	2	14	19	13	11	18	14	0	0	5	6	2	0	38	27	22	18
PA1266.1	chromosome	1376094	1376330	-	237	0	3	5	7	5	1	2	0	7	2	2	0	5	1	0	0	0	0	0	2	0	0	4	3
PA1267	chromosome	1376327	1377442	-	1116	7	1	20	48	10	6	2	11	12	39	6	11	26	15	2	0	11	4	4	2	23	22	34	17
PA1268	chromosome	1377439	1378383	-	945	14	4	28	27	6	0	3	0	3	34	6	8	18	17	14	0	8	3	0	3	14	24	13	14
PA1269	chromosome	1378500	1379168	-	669	22	25	151	197	173	54	20	16	169	223	119	134	210	165	28	10	45	19	15	36	287	250	159	207
PA1270	chromosome	1379413	1381452	+	2040	28	35	60	50	20	4	17	6	21	36	14	19	55	31	6	13	26	21	9	18	66	61	55	62
sRNA1270.1	chromosome	1381528	1381745	+	218	18	31	64	46	25	9	789	934	22	25	13	20	28	25	14	5	37	24	12	22	78	102	46	66
PA1271	chromosome	1381804	1383654	+	1851	80	55	366	381	46	20	50	72	54	139	43	38	102	85	51	37	91	40	64	77	675	737	140	140
PA1272	chromosome	1383718	1384329	+	612	27	20	419	476	33	25	33	14	53	68	38	28	76	72	21	10	56	43	34	28	619	555	112	126
